GroupName,GroupLink,NumberOfUsers
AMAZING WORLD IN PICTURES,https://plus.google.com/communities/107227997247571388140,10042
Amazing Places to Visit,https://plus.google.com/communities/106760581680306134360,14540
All about Korea,https://plus.google.com/communities/106688308311936484478,8846
BLOGGERS AND TRAVELERS,https://plus.google.com/communities/114880711022925710409,8790
Learn Chinese,https://plus.google.com/communities/114086323099834306817,3214
Bali - Indonesia,https://plus.google.com/communities/113147949005709352644,2308
Antique and Flea Market Travelers,https://plus.google.com/communities/116713420545672564682,1879
Insight India,https://plus.google.com/communities/117349310959505158618,1324
Gay San Diego,https://plus.google.com/communities/113644177610103070041,1231
Opensim Virtual,https://plus.google.com/communities/116284417302234467612,995
Lifestyle,https://plus.google.com/communities/111729542395801235438,1083
Style Journal,https://plus.google.com/communities/104881902819484948486,900
Hotelchoosing,https://plus.google.com/communities/114259565168432154223,949
Turkey Tours,https://plus.google.com/communities/108052442117948281429,931
Egypt Tourism,https://plus.google.com/communities/115995272025220244709,639
Holiday Advisor,https://plus.google.com/communities/104349317065883161517,551
Europe trips,https://plus.google.com/communities/103119347546750744615,510
The JetSet Family,https://plus.google.com/communities/102222728148317276266,535
EVERYTHING ♥ YouTube ♥ BEST VIDEO COMMUNITY,https://plus.google.com/communities/106547191884960344315,5581
Lifestyle Bloggers,https://plus.google.com/communities/107992198925846443050,4065
Indian Travellers,https://plus.google.com/communities/111132807765731465502,6524
Beach Holidays,https://plus.google.com/communities/118172897062268796582,3024
Caribbean Islands,https://plus.google.com/communities/115410299818796456787,2656
PHOTOGRAPHY,https://plus.google.com/communities/105122735007495724537,2721
Backpacking,https://plus.google.com/communities/117508696163612619233,3124
Visit Norway,https://plus.google.com/communities/105490168706412281829,2050
Locations  placemarks  and waypoints,https://plus.google.com/communities/113860878496104141618,1737
Texas Blues,https://plus.google.com/communities/106397774258971127226,1567
Koh Samui - Thailand,https://plus.google.com/communities/113742833835839368167,971
Nainital The Lake District of India,https://plus.google.com/communities/117467136739422213662,660
Silent Hill,https://plus.google.com/communities/112154861145631426053,691
Wedding Prague,https://plus.google.com/communities/109483322114398852695,516
Family holidays,https://plus.google.com/communities/111830062475847086331,645
California & Western US Landscapes,https://plus.google.com/communities/109780917718402194905,52171
Wonderful Pictures,https://plus.google.com/communities/109280126769291679533,16485
Places To See Before You Die,https://plus.google.com/communities/116545698406032242538,30058
Beautiful World,https://plus.google.com/communities/117159265920107987106,6973
YOUTUBE ™ Your Videos & Movies & Pictures Youtube,https://plus.google.com/communities/118104616724566165461,6311
Off Road Enthusiasts,https://plus.google.com/communities/114919306378507771977,3973
Ghost Adventures,https://plus.google.com/communities/110394630927289883555,3915
Paris Lovers,https://plus.google.com/communities/105948978014665102416,3264
Psychic Ability Chat,https://plus.google.com/communities/111101122860486733904,2953
Vacation Ideas,https://plus.google.com/communities/105949998673489005609,3776
We and World,https://plus.google.com/communities/101294347640540676739,2901
Passion for Africa,https://plus.google.com/communities/105663911139036220052,2871
GAY Thailand,https://plus.google.com/communities/100540883493870638426,3046
Share blogs,https://plus.google.com/communities/101983293230213672279,2704
Indonesia,https://plus.google.com/communities/105338438648887550245,3060
Youtubers! funny youtube videos - games - animals,https://plus.google.com/communities/108039881400918124169,2422
Learning Russian with Russians,https://plus.google.com/communities/114610421531201572864,2347
Kids Activities Share!,https://plus.google.com/communities/110065809250127071269,1746
Greece: the lands of the Gods,https://plus.google.com/communities/110300597677354594369,1676
Motorcycle Photography Community,https://plus.google.com/communities/118240376322560325656,1541
HD WALLPAPER HUB,https://plus.google.com/communities/116076490782707635178,1489
Adventure in India,https://plus.google.com/communities/102375755849527880787,1516
Wonderful Spain,https://plus.google.com/communities/114993215446389233029,1474
Adventure Motorcycle Rider,https://plus.google.com/communities/106852015575144080921,1474
YouTube Motorcycle Adventurers,https://plus.google.com/communities/117175756664567729320,1398
Luhan * EXO * FansClub ^O^,https://plus.google.com/communities/104520957292896084477,1753
USA - United States of America on Google+,https://plus.google.com/communities/113379042690859249226,1259
Google+  Facebook  LinkedIn  Twitter & Tumblr Cat,https://plus.google.com/communities/114976543961925392084,1161
= S I R I U S =,https://plus.google.com/communities/116910268561753127755,1116
Italy,https://plus.google.com/communities/106910639054661261008,1227
THE BEST: PLANET EARTH PHOTOS NATURE SPACE PICTURE,https://plus.google.com/communities/108988140935373135262,2032
Immortality,https://plus.google.com/communities/114227130939138359859,1082
Canada50,https://plus.google.com/communities/113294635203975918189,1360
Pinoys Around The World,https://plus.google.com/communities/109076683761708716747,1006
Luhan (루한),https://plus.google.com/communities/105575286202034466058,1053
My Canada,https://plus.google.com/communities/116525903278521508410,1057
Thailand,https://plus.google.com/communities/115091400088634514663,2520
Senior Singles Dating,https://plus.google.com/communities/102840521733555990662,946
Vacation Rentals,https://plus.google.com/communities/111241993801621482859,964
My Blogworld Forum,https://plus.google.com/communities/116806653057256386192,832
Sri Lanka,https://plus.google.com/communities/105859629533603868195,797
Disney World,https://plus.google.com/communities/106061395784714417887,805
Facebook Graph Search,https://plus.google.com/communities/103826967972037872645,789
CANADA ROCKS!,https://plus.google.com/communities/109119714227256275764,752
BaldHiker - Your World,https://plus.google.com/communities/101603623216578879511,680
Language,https://plus.google.com/communities/116102009102648156294,688
UrbanSketchers,https://plus.google.com/communities/103551504514000014084,664
Barcelona fans,https://plus.google.com/communities/117033600964170736485,656
Official Bubble Witch Saga Community,https://plus.google.com/communities/115081757998702321497,636
Thailand Explorer,https://plus.google.com/communities/107333869830561228071,659
Boho & Beauty,https://plus.google.com/communities/117922595086481035505,628
The Best Places in the world,https://plus.google.com/communities/110538198190830037377,1258
Add circles sharedcircles shared followers follow,https://plus.google.com/communities/116014769357431090997,508
Exploring South Australia,https://plus.google.com/communities/112314254333830166442,553
Google Lunar XPRIZE,https://plus.google.com/communities/109643241940424501576,553
Luxury Hotels,https://plus.google.com/communities/100328963127024907810,531
Psychic  Astrology  Tarot and Quotes,https://plus.google.com/communities/105386279039967668469,714
Archilovers,https://plus.google.com/communities/115075652181379067098,555
Travel Dating,https://plus.google.com/communities/103348431370196693723,6181
Thailand Travel and Women,https://plus.google.com/communities/117977576308703127188,12411
Single,https://plus.google.com/communities/102875122720730124436,2641
Big Beautiful Dating,https://plus.google.com/communities/117967431276655740289,1058
HD Photos,https://plus.google.com/communities/116644243853476813414,1152
Female Travel,https://plus.google.com/communities/102026417653130025830,1964
Fiji Travel,https://plus.google.com/communities/104173163843873289236,515
Waze in Malaysia,https://plus.google.com/communities/112344479411419974312,1443
Croatia,https://plus.google.com/communities/103267148055751102542,1049
Kerala,https://plus.google.com/communities/101874489199103313656,5415
Indian Food Recipes,https://plus.google.com/communities/100208395660391336396,829
Kerala,https://plus.google.com/communities/118128077909527001461,1199
DEEPIKA FANZZ CLUB,https://plus.google.com/communities/110132532190156367585,566
Small business ideas with low investment,https://plus.google.com/communities/109857626068611979998,556
